trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.9816245535713135}",25,0,-24.719011626302624,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.9812409455284513}",35,0,-158.45601831034818,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.9808534125231153}",25,0,-104.96181873170822,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.9804619561054371}",30,0,-91.3069940492414,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-124.53283840193276,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9796672793120416}",25,0,-273.296732488825,"{0: 7, 1: 6, 2: 8, 3: 0, 4: 4}",0
102,False,"{'a': 0.5, 'e': 0.9792640621150305}",25,0,-211.78210608896015,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
103,False,"{'a': 0.5, 'e': 0.9788569278630767}",20,0,-92.35047183518883,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,0,-33.66642417831664,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-160.17420431660548,"{0: 7, 1: 1, 2: 10, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9776120391412251}",20,14,-4.962922238659603,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.9771892531114489}",20,0,-131.6296110188932,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9767625583259631}",30,0,-132.00131164406835,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.9763319564915464}",30,0,-86.19354361999869,"{0: 17, 1: 6, 2: 6, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.9758974493306055}",20,0,-75.54983883250466,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9754590385811684}",35,5,-84.81160424280054,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.9750167259968777}",30,0,-202.87178668773385,"{0: 13, 1: 5, 2: 7, 3: 4, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.974570513346983}",20,0,-90.42175844582759,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9741204024163344}",20,0,-100.88677140108717,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,0,-66.93922959133317,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9732084929301336}",25,0,-121.23172484910522,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9727466980222181}",20,0,-118.27082729665261,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9722810121288076}",20,0,-121.82193195944943,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.971811437112645}",25,0,-142.8060016021573,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-98.61042002762615,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.97086062724081}",35,0,-197.4317124416825,"{0: 23, 1: 3, 2: 5, 3: 0, 4: 4}",0
122,False,"{'a': 0.5, 'e': 0.9703793961883759}",30,0,-117.04385350436691,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
